	Speed	Angle	Error
1	1	-0.024	16
2	1	-0.024	16
3	1	-0.024	16
4	1	-0.024	16
5	1	-0.024	16
6	1	-0.024	16
7	1	-0.024	16
8	1	-0.024	16
9	1	-0.024	16
10	1	-0.024	16
11	1	-0.024	16
12	1	-0.024	16
13	1	-0.024	16
14	1	-0.024	16
15	1	-0.024	16
16	1	-0.024	16
17	1	-0.024	16
18	1	-0.024	16
19	1	-0.024	16
20	1	-0.024	16
21	1	-0.024	16
22	1	-0.024	16
23	1	-0.024	16
24	1	-0.024	16
25	1	-0.024	16
26	1	-0.024	16
27	1	-0.024	16
28	1	-0.024	16
29	1	-0.024	16
30	1	-0.024	16
31	1	-0.024	16
32	1	-0.024	16
33	1	-0.024	16
34	1	-0.024	16
35	1	-0.024	16
36	1	-0.024	16
37	1	-0.024	16
38	1	-0.024	16
39	1	-0.024	16
40	1	-0.024	16
41	1	-0.024	16
42	1	-0.027	18
43	1	-0.027	18
44	1	-0.027	18
45	1	-0.027	18
46	1	-0.027	18
47	1	-0.027	18
48	1	-0.027	18
49	1	-0.027	18
50	1	-0.027	18
51	1	-0.027	18
52	1	-0.027	18
53	1	-0.027	18
54	1	-0.024	16
55	1	-0.024	16
56	1	-0.024	16
57	1	-0.0225	15
58	1	-0.0225	15
59	1	-0.0225	15
60	1	-0.0225	15
61	1	-0.0225	15
62	1	-0.0225	15
63	1	-0.018000000000000002	12
64	1	-0.018000000000000002	12
65	1	-0.018000000000000002	12
66	1	-0.018000000000000002	12
67	1	-0.018000000000000002	12
68	1	-0.018000000000000002	12
69	1	-0.018000000000000002	12
70	1	-0.018000000000000002	12
71	1	-0.018000000000000002	12
72	1	-0.018000000000000002	12
73	1	-0.018000000000000002	12
74	1	-0.018000000000000002	12
75	1	-0.018000000000000002	12
76	1	-0.018000000000000002	12
77	1	-0.018000000000000002	12
78	1	-0.018000000000000002	12
79	1	-0.018000000000000002	12
80	1	-0.018000000000000002	12
81	1	-0.018000000000000002	12
82	1	-0.018000000000000002	12
83	1	-0.012	8
84	1	-0.012	8
85	1	-0.012	8
86	1	-0.012	8
87	1	-0.012	8
88	1	-0.012	8
89	1	0.0465	-31
90	1	0.0765	-51
91	1	0.0765	-51
92	1	0.0765	-51
93	1	0.084	-56
94	1	0.084	-56
95	1	0.084	-56
96	1	0.09	-60
97	1	0.10350000000000001	-69
98	1	0.10350000000000001	-69
99	1	0.10350000000000001	-69
100	1	0.10350000000000001	-69
101	1	0.10350000000000001	-69
102	1	0.1455	-97
103	1	0.1665	-111
104	1	0.1665	-111
105	1	0.1665	-111
106	1	0.1665	-111
107	1	0.183	-122
108	1	0.183	-122
109	1	0.1905	-127
110	1	0.1905	-127
111	1	0.1905	-127
112	1	0.1905	-127
113	1	0.1905	-127
114	1	0.2475	-165
115	1	0.2535	-169
116	1	0.231	-154
117	1	0.231	-154
118	1	0.231	-154
119	1	0.231	-154
120	1	0.231	-154
121	1	0.216	-144
122	1	0.216	-144
123	1	0.216	-144
124	1	0.216	-144
125	1	0.216	-144
126	1	0.216	-144
127	1	0.0645	-43
128	1	0.0645	-43
129	1	0.0645	-43
130	1	0.0645	-43
131	1	0.0375	-25
132	1	0.0375	-25
133	1	0.0375	-25
134	1	0.0375	-25
135	1	0.0375	-25
136	1	0.0375	-25
137	1	0.0375	-25
138	1	-0.219	146
139	1	-0.219	146
140	1	-0.219	146
141	1	-0.219	146
142	1	-0.219	146
143	1	-0.219	146
144	1	-0.219	146
145	1	-0.219	146
146	1	-0.219	146
147	1	-0.219	146
148	1	-0.219	146
149	1	-0.219	146
150	1	-0.219	146
151	1	-0.219	146
152	1	-0.48	320
153	1	-0.48	320
154	1	-0.48	320
155	1	-0.48	320
156	1	-0.48	320
157	1	-0.48	320
158	1	-0.48	320
159	1	-0.48	320
160	1	-0.48	320
161	1	-0.48	320
162	1	-0.48	320
163	1	-0.48	320
164	1	-0.48	320
165	1	-0.48	320
166	1	-0.48	320
167	1	-0.48	320
168	1	-0.48	320
169	1	-0.48	320
170	1	-0.4365	291
171	1	-0.4365	291
172	1	-0.4365	291
173	1	-0.4365	291
174	1	-0.4365	291
175	1	-0.4365	291
176	1	-0.4365	291
177	1	-0.4365	291
178	1	-0.4365	291
179	1	-0.4365	291
180	1	-0.4365	291
181	1	-0.4365	291
182	1	-0.4365	291
183	1	-0.4365	291
184	1	-0.4365	291
185	1	-0.4365	291
186	1	-0.4365	291
187	1	-0.4365	291
188	1	-0.4365	291
189	1	-0.4365	291
190	1	-0.4365	291
191	1	-0.4365	291
192	1	-0.4365	291
193	1	-0.4365	291
194	1	-0.4365	291
195	1	-0.4365	291
196	1	-0.4365	291
197	1	-0.4365	291
198	1	-0.4365	291
199	1	-0.4365	291
200	1	-0.4365	291
201	1	-0.4365	291
202	1	-0.4365	291
203	1	-0.4365	291
204	1	-0.4365	291
205	1	-0.4365	291
206	1	-0.4365	291
207	1	-0.4365	291
208	1	-0.4365	291
209	1	-0.4365	291
210	1	-0.4365	291
211	1	-0.4365	291
212	1	-0.4365	291
213	1	-0.4365	291
214	1	-0.4365	291
215	1	-0.4365	291
216	1	-0.4365	291
217	1	-0.4365	291
218	1	-0.4365	291
219	1	-0.4365	291
220	1	-0.4365	291
221	1	-0.4365	291
222	1	-0.4365	291
223	1	-0.4365	291
224	1	-0.4365	291
225	1	-0.4365	291
226	1	-0.4365	291
227	1	-0.4365	291
228	1	-0.4365	291
229	1	-0.4365	291
230	1	-0.4365	291
231	1	-0.4365	291
232	1	-0.4365	291
233	1	-0.4365	291
234	1	-0.4365	291
235	1	-0.4365	291
236	1	-0.4365	291
237	1	-0.4365	291
238	1	-0.4365	291
239	1	-0.4365	291
240	1	-0.4365	291
241	1	-0.4365	291
242	1	-0.4365	291
243	1	-0.4365	291
244	1	-0.4365	291
245	1	-0.4365	291
246	1	-0.4365	291
247	1	-0.4365	291
248	1	-0.4365	291
249	1	-0.4365	291
250	1	-0.4365	291
251	1	-0.4365	291
252	1	-0.4365	291
253	1	-0.4365	291
254	1	-0.4365	291
255	1	-0.4365	291
256	1	-0.4365	291
257	1	-0.4365	291
258	1	-0.4365	291
259	1	-0.4365	291
260	1	-0.4365	291
261	1	-0.4365	291
262	1	-0.4365	291
263	1	-0.4365	291
264	1	-0.4365	291
265	1	-0.4365	291
266	1	-0.4365	291
267	1	-0.4365	291
268	1	-0.4365	291
269	1	-0.4365	291
270	1	-0.4365	291
271	1	-0.4365	291
272	1	-0.4365	291
273	1	-0.4365	291
274	1	-0.4365	291
275	1	-0.4365	291
276	1	-0.4365	291
277	1	-0.4365	291
278	1	-0.4365	291
279	1	-0.4365	291
280	1	-0.4365	291
281	1	-0.4365	291
282	1	-0.4365	291
283	1	-0.4365	291
284	1	-0.4365	291
285	1	-0.4365	291
286	1	-0.4365	291
287	1	-0.4365	291
288	1	-0.4365	291
289	1	-0.4365	291
290	1	-0.4365	291
291	1	-0.4365	291
292	1	-0.4365	291
293	1	-0.4365	291
294	1	-0.4365	291
295	1	-0.4365	291
296	1	-0.4365	291
297	1	-0.4365	291
298	1	-0.4365	291
299	1	-0.4365	291
300	1	-0.4365	291
301	1	-0.4365	291
302	1	-0.4365	291
303	1	-0.4365	291
304	1	-0.4365	291
305	1	-0.4365	291
306	1	-0.4365	291
307	1	-0.4365	291
308	1	-0.4365	291
309	1	-0.4365	291
310	1	-0.4365	291
311	1	-0.4365	291
